addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Москва, улица Свободы, 42",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.845186,37.455243,,,74955043487|74952230200,,AB062,,,,https://av.ru/
"Москва, улица Серафимовича, 2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.744553,37.613104,,,74955043487|74952230200,,АВ130,,,,https://av.ru/
"Москва, улица Сергея Макеева, 9к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7609,37.5502,,,74955043487|74952230200,,АВМАК09,,,,https://av.ru/
"Москва, улица Симоновский Вал, 12к2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.72464,37.662928,,,74955043487|74952230200,,АВ131,,,,https://av.ru/
"Москва, Симферопольский бульвар, 22к3",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.64695,37.604904,,,74955043487|74952230200,,AB063,,,,https://av.ru/
"Москва, Смоленская-Сенная площадь, 27с1А",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.745283,37.58253,,,74955043487|74952230200,,AVDAILY012,,,,https://av.ru/
"Москва, улица Сретенка, 1с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.766532,37.630544,,,74955043487|74952230200,,АВ101,,,,https://av.ru/
"Москва, Старая Басманная улица, 28/2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7681,37.6679,,,74955043487|74952230200,,AB064,,,,https://av.ru/
"Москва, Страстной бульвар, 6с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7657,37.6084,,,74955043487|74952230200,,МФСТРБ-06,,,,https://av.ru/
"Москва, улица Строителей, 17к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.688272,37.532033,,,74955043487|74952230200,,АВ152,,,,https://av.ru/
"Москва, Воронцовская улица, 4с3",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.740154,37.653828,,,74955043487|74952230200,,AB065,,,,https://av.ru/
"Москва, Тверская улица, 27с2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.76901,37.597223,,,74955043487|74952230200,,AV000001,,,,https://av.ru/
"Москва, Тверская улица, 5/6",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.758148,37.612312,,,74955043487|74952230200,,AVDAILY013,,,,https://av.ru/
"Москва, Неглинная улица, 20",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.766006,37.621179,,,74955043487|74952230200,,AB067,,,,https://av.ru/
"Москва, улица Академика Понтрягина, 14",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.5332,37.4982,,,74955043487|74952230200,,АВБУТ00_Т,,,,https://av.ru/
"Москва, улица Удальцова, 1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.6715,37.5173,,,74955043487|74952230200,,АВУД01_Т,,,,https://av.ru/
"Москва, улица Удальцова, 32с2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.681675,37.493185,,,74955043487|74952230200,,АВ121,,,,https://av.ru/
"Московская область, Химки, Ленинградская улица, 16Б",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.888014,37.438521,,,74955043487|74952230200,,AB068,,,,https://av.ru/
"Московская область, Химки, Молодёжная улица, 6",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.881172,37.419682,,,74955043487|74952230200,,AB069,,,,https://av.ru/
"Москва, Хорошёвское шоссе, 52",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.776673,37.532555,,,74955043487|74952230200,,АВ126,,,,https://av.ru/
"Москва, Цветной бульвар, 27/24",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.77323,37.620794,,,74955043487|74952230200,,AVDAILY008,,,,https://av.ru/
"Москва, 2-я Песчаная улица, 1/18",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.795977,37.517898,,,74955043487|74952230200,,АВ119,,,,https://av.ru/
"Москва, улица Чаянова, 14",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.776239,37.59625,,,74955043487|74952230200,,AB070,,,,https://av.ru/
"Москва, Шмитовский проезд, 10/7",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.758701,37.552745,,,74955043487|74952230200,,АВ139,,,,https://av.ru/
"Москва, Щёлковское шоссе, 8",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.804436,37.761256,,,74955043487|74952230200,,АВ118,,,,https://av.ru/
"Москва, Ярцевская улица, 24к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.739129,37.414364,,,74955043487|74952230200,,АВ116,,,,https://av.ru/
"Санкт-Петербург, 7-я линия Васильевского острова, 42",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.941993,30.279423,,,74955043487|74952230200,,АВ151,,,,https://av.ru/
"Санкт-Петербург, Большой проспект Петроградской стороны, 58",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.961,30.3035,,,74955043487|74952230200,,АВ089,,,,https://av.ru/
"Санкт-Петербург, Выборгское шоссе, 13",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,60.048374,30.313857,,,74955043487|74952230200,,АВ085,,,,https://av.ru/
"Санкт-Петербург, Вязовая улица",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.9672,30.2727,,,74955043487|74952230200,,АВ198,,,,https://av.ru/
"Санкт-Петербург, Загородный проспект, 18",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.926215,30.343105,,,74955043487|74952230200,,АВ147,,,,https://av.ru/
"Санкт-Петербург, Литейный проспект, 26",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.941946,30.348758,,,74955043487|74952230200,,АВ087,,,,https://av.ru/
"Санкт-Петербург, улица Марата, 1/71",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.931228,30.354837,,,74955043487|74952230200,,АВ110,,,,https://av.ru/
"Санкт-Петербург, Московский проспект, 111",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.889038,30.318761,,,74955043487|74952230200,,АВ088,,,,https://av.ru/
"Санкт-Петербург, улица Нахимова, 5к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.942146,30.225525,,,74955043487|74952230200,,АВ086,,,,https://av.ru/
"Санкт-Петербург, Невский проспект, 142",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.929587,30.369542,,,74955043487|74952230200,,АВ117,,,,https://av.ru/
"Санкт-Петербург, Парадная улица, 3к2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.941878,30.366443,,,74955043487|74952230200,,АВ140,,,,https://av.ru/
"Санкт-Петербург, Невский проспект, 114-116",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,59.9317,30.3595,,,74955043487|74952230200,,АВ78-Н114,,,,https://av.ru/
